Title,Latitude,Longitude,Devices,Etc
Latino center,42.3381703,-71.0897489,accs-lc-221-1,
Light Hall,42.341798,-71.088164,accs-li-010-1,
Loftman Hall,42.3417284,-71.0908388,accs-157he-021-1,
London,51.5194488,-0.1305607,"accs-london-idf-c-1,accs-london-idf-a-1,accs-london-mdf-1,accs-london-idf-b-1,accs-london-mdf-server-1",off-campus
Marbury Terrace,42.3180493,-71.1023087,"accs-mt-aamarp-1,accs-mt-office-1",off-campus
Marine Science Center,42.4185262,-70.9073684,"accs-msc-gn-2b-1,accs-msc-pumphouse-1,accs-msc-100n1-1,accs-msc-trailer1-1,accs-msc-trailer2-1",off-campus
Marino Center,42.3401825,-71.0900603,"accs-mc-152-1,accs-mc-166-1",
Marlborough DataCenter Colo 12 R2R3,42.3129021,-71.5792571,accs-mgt-mr-c12-r2r3-1,off-campus
Matthews Arena,42.3410767,-71.0846418,"accs-ma-050-1,accs-ma-091-1,accs-ma-125-1,accs-ma-300-1",
Melvin Hall,42.3420948,-71.0911343,accs-mh-128-1,
Meserve,42.3378086,-71.0909389,"accs-me-166a-1,accs-me-436a-1",
MGHPCC,42.202741,-72.6076956,"accs-mgh-poda-r3c11-1,accs-mgh-podc-r3c13-1,accs-mgh-podc-r3c5-1,accs-mgh-mda-r6c25-1,accs-mgh-poda-r3c12-1,accs-mgh-mda-r6c27-1,accs-mgh-podc-r3c7-1,accs-mgh-poda-r3c9-1",off-campus
Midtown Hotel,42.3437118,-71.0833588,"accs-md-mdf-1,accs-md-admin-1,accs-md-h-1",
Mugar Hall,42.3397713,-71.0871117,"accs-mu-100m7-2,accs-mu-100m7-1,accs-mu-219b-1,accs-mu-317-2,accs-mu-317-1",
Nahant Bunker-113,42.4185262,-70.9073684,"accs-msc-gn-113-1,accs-msc-gn-124-1",off-campus
Nightingale Hall,42.3381906,-71.0900171,"accs-nicdf-mgt-1,accs-ni-cdf-1,accs-ni-131-1,accs-ni-424-1",
Portland Roux Institute,43.6615163,-70.246612,accs-roux-123-1,off-campus
Renaissance Park Garage,42.3362215,-71.0882414,"accs-rpg-001-1,accs-rp-119-2,accs-rp-119-1,accs-rp-160h2-1,accs-rp-200-1,accs-rp-300-1,accs-rp-400-1,accs-rp-900-1",
Richards Hall,42.3399151,-71.0887412,"accs-ri-44-test-7,accs-mgt-ri-37-r7r5-1,accs-mgt-ri-37-r5r0-1,accs-ri-cdf-1,accs-ricdf-mgt-1,accs-cdf-ri-test-1,accs-ricdf-mgt-2,accs-ri-37-farpoint-1,accs-ricdf-mgt-3,accs-ri-44-test-4,accs-ri-44-test-1,accs-ri-44-test-2,accs-ri-118a-3,accs-ri-118a-2,accs-ri-44-test-5,accs-ri-118a-1,accs-ri-218-1,accs-ri-318-1,accs-ri-451-1,accs-20RI-test-1,accs-20RI-EIP-VLAN-Test",
Robinson Hall,42.33925885,-71.0867227,"accs-rb-208-2,accs-rb-208-1",
Rubenstein Hall,42.3382784,-71.0934552,accs-ru-013-1,
Ruggles,42.3371526,-71.0891,accs-rg-1,
Ryder Hall,42.3366052,-71.0908503,"accs-ry-146-1,accs-ry-146-2,accs-ry-341-1,accs-ry-341-2,accs-ry-411-1",
San Jose,37.337538,-121.8897467,"accs-sjc-130c-1,accs-sjc-1008-1",off-campus
Seattle,47.622834,-122.3373634,"accs-sea-1xx-temp-1,accs-sea-225-1,accs-sea-100-1,accs-sea-115-1",off-campus
